station_id,Richness,Bas_sum,Con_leu,Cun_pac,Das_nov,Did_mar,Eir_bar,Leo_par,Leo_wie,Maz_tem,Nas_nar,Odo_vir,Pan_onc,Pec_taj,Pum_con,Pum_yag,Spi_ang,Tam_mex,Tap_bai,Uro_cin,camera_days,cluster
JS1,9,0,0,0,0,3,2,2,0,2,0,1,0,4,1,0,1,0,0,0,152,1
JS2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,152,1
JS3,3,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,152,1
JS4,4,0,0,0,0,0,0,2,1,2,0,5,0,0,0,0,0,0,0,0,38,1
JS5,4,0,0,0,0,0,0,4,3,0,0,0,0,1,0,0,0,0,0,0,23,1
M1,8,0,1,1,6,0,0,0,0,1,0,0,0,17,4,1,0,0,0,0,91,2
M2,11,0,0,1,0,5,0,1,0,0,1,1,0,45,2,1,1,0,0,16,91,2
M3,5,0,0,0,1,0,0,0,0,0,3,1,0,13,0,0,0,0,0,2,29,2
M4,10,0,0,0,0,6,0,0,0,2,4,0,1,23,4,0,1,0,2,1,48,2
M5,4,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,11,2
NR1,9,0,0,17,1,0,10,0,21,0,3,0,0,3,0,1,0,1,0,0,184,3
NR2,6,0,0,2,0,2,1,0,0,0,13,0,0,1,0,0,0,1,0,0,91,3
PA1,4,0,0,9,0,0,0,1,0,0,0,3,0,10,0,0,0,0,0,0,21,3
PA2,3,0,0,4,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,26,3
PN1,10,0,0,1,2,6,0,0,2,2,10,5,1,3,0,0,0,0,0,5,73,4
PN2,5,0,0,1,0,0,0,2,0,0,15,1,0,23,0,0,0,0,0,0,73,4
PN3,6,0,0,0,2,11,0,1,0,0,38,0,0,14,0,1,0,0,0,0,73,4
PN4,9,0,3,0,1,13,0,1,0,0,52,13,0,30,1,0,0,0,0,3,73,4
PN5,2,0,0,0,0,0,0,0,0,0,0,2,0,32,0,0,0,0,0,0,74,4
PN6,5,0,0,0,1,0,1,0,0,6,1,1,0,0,0,0,0,0,0,0,37,4
PN7,6,0,0,0,0,2,2,0,0,0,0,1,0,3,0,0,0,0,0,3,37,4
