"station_id","utm_x","utm_y","elevation","cluster_final"
"JS1",449901,1775333,1565,1
"JS2",450375,1776844,1609,1
"JS3",448865,1774354,1782,1
"JS4",448237,1774554,1827,1
"JS5",449186.6,1775351.9,1856,1
"M1",484317,1766812.3,1356,2
"M2",484106,1767820,1391,2
"M3",480948,1766356,1551,2
"M4",480953.26,1766355.14,1268,2
"M5",482017.78,1766144.98,1459,2
"NR1",471142.02,1755965.41,922,3
"NR2",471791,1755915,1237,3
"PA1",480158.12,1760716.89,976,3
"PA2",479126.88,1760789.83,943,3
"PN1",480515.2,1766802.3,1350,4
"PN2",481670.1,1766761.94,1141,4
"PN3",482570.03,1766545,1421,4
"PN4",485196.78,1767552.97,1580,4
"PN5",485707,1766921,1220,4
"PN6",481149.06,1765579.9,1231,4
"PN7",484904,1766940,1294,4
