Station,Especie,Abundancia,cluster,camera_days
JS1,Bas_sum,0,1,152
JS1,Con_leu,0,1,152
JS1,Cun_pac ,0,1,152
JS1,Das_nov,0,1,152
JS1,Did_mar,3,1,152
JS1,Eir_bar,2,1,152
JS1,Leo_par,2,1,152
JS1,Leo_wie,0,1,152
JS1,Maz_tem,2,1,152
JS1,Nas_nar,0,1,152
JS1,Odo_vir,1,1,152
JS1,Pan_onc,0,1,152
JS1,Pec_taj,4,1,152
JS1,Pum_con,1,1,152
JS1,Pum_yag,0,1,152
JS1,Spi_ang,1,1,152
JS1,Tam_mex,0,1,152
JS1,Tap_bai,0,1,152
JS1,Uro_cin,0,1,152
JS2,Bas_sum,0,1,152
JS2,Con_leu,0,1,152
JS2,Cun_pac ,0,1,152
JS2,Das_nov,0,1,152
JS2,Did_mar,0,1,152
JS2,Eir_bar,0,1,152
JS2,Leo_par,1,1,152
JS2,Leo_wie,0,1,152
JS2,Maz_tem,0,1,152
JS2,Nas_nar,0,1,152
JS2,Odo_vir,0,1,152
JS2,Pan_onc,0,1,152
JS2,Pec_taj,0,1,152
JS2,Pum_con,0,1,152
JS2,Pum_yag,0,1,152
JS2,Spi_ang,0,1,152
JS2,Tam_mex,0,1,152
JS2,Tap_bai,1,1,152
JS2,Uro_cin,0,1,152
JS3,Bas_sum,2,1,152
JS3,Con_leu,0,1,152
JS3,Cun_pac ,0,1,152
JS3,Das_nov,0,1,152
JS3,Did_mar,0,1,152
JS3,Eir_bar,0,1,152
JS3,Leo_par,0,1,152
JS3,Leo_wie,0,1,152
JS3,Maz_tem,1,1,152
JS3,Nas_nar,0,1,152
JS3,Odo_vir,0,1,152
JS3,Pan_onc,0,1,152
JS3,Pec_taj,0,1,152
JS3,Pum_con,2,1,152
JS3,Pum_yag,0,1,152
JS3,Spi_ang,0,1,152
JS3,Tam_mex,0,1,152
JS3,Tap_bai,0,1,152
JS3,Uro_cin,0,1,152
JS4,Bas_sum,0,1,38
JS4,Con_leu,0,1,38
JS4,Cun_pac ,0,1,38
JS4,Das_nov,0,1,38
JS4,Did_mar,0,1,38
JS4,Eir_bar,0,1,38
JS4,Leo_par,2,1,38
JS4,Leo_wie,1,1,38
JS4,Maz_tem,2,1,38
JS4,Nas_nar,0,1,38
JS4,Odo_vir,5,1,38
JS4,Pan_onc,0,1,38
JS4,Pec_taj,0,1,38
JS4,Pum_con,0,1,38
JS4,Pum_yag,0,1,38
JS4,Spi_ang,0,1,38
JS4,Tam_mex,0,1,38
JS4,Tap_bai,0,1,38
JS4,Uro_cin,0,1,38
JS5,Bas_sum,0,1,23
JS5,Con_leu,0,1,23
JS5,Cun_pac ,0,1,23
JS5,Das_nov,0,1,23
JS5,Did_mar,0,1,23
JS5,Eir_bar,0,1,23
JS5,Leo_par,4,1,23
JS5,Leo_wie,3,1,23
JS5,Maz_tem,0,1,23
JS5,Nas_nar,0,1,23
JS5,Odo_vir,0,1,23
JS5,Pan_onc,0,1,23
JS5,Pec_taj,1,1,23
JS5,Pum_con,0,1,23
JS5,Pum_yag,0,1,23
JS5,Spi_ang,0,1,23
JS5,Tam_mex,0,1,23
JS5,Tap_bai,0,1,23
JS5,Uro_cin,0,1,23
M1,Bas_sum,0,2,91
M1,Con_leu,1,2,91
M1,Cun_pac ,1,2,91
M1,Das_nov,6,2,91
M1,Did_mar,0,2,91
M1,Eir_bar,0,2,91
M1,Leo_par,0,2,91
M1,Leo_wie,0,2,91
M1,Maz_tem,1,2,91
M1,Nas_nar,0,2,91
M1,Odo_vir,0,2,91
M1,Pan_onc,0,2,91
M1,Pec_taj,17,2,91
M1,Pum_con,4,2,91
M1,Pum_yag,1,2,91
